ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev
Call of Duty 2,Adventure,2006-10-13,19.99,78,284743
Black Mesa,Adventure,2015-05-05,19.99,88,282464
Call of Duty: Modern Warfare 2 - Multiplayer,Adventure,2009-11-11,19.99,81,4918653
Path of Exile,Adventure,2013-10-23,Free,88,5376451
Tribes: Ascend,Adventure,2012-06-27,Free,54,1710211
Mushihimesama,Adventure,2015-11-12,19.99,96,26651
Rayman Origins,Adventure,2012-03-29,19.99,90,198478
Tomb Raider,Adventure,2013-03-04,19.99,93,4124739
Total War: WARHAMMER,Adventure,2016-05-24,59.99,31,845813
Rocket League,Adventure,2015-07-07,14.99,88,3929943
Resident Evil 5,Adventure,2009-09-15,19.99,59,769367
Call of Duty: Modern Warfare 2,Adventure,2009-11-11,19.99,81,4918653
Tom Clancy's Rainbow Six 3: Gold Edition,Adventure,2008-09-25,9.99,88,128695
Hotline Miami,Adventure,2012-10-23,9.99,98,1942704
Prince of Persia: The Two Thrones,Adventure,2008-11-21,9.99,47,196900
Tom Clancy's Rainbow Six: Vegas,Adventure,2008-04-09,9.99,41,246345
Dark Souls: Prepare to Die Edition,Adventure,2012-08-23,19.99,75,2630716
Quadrilateral Cowboy,Adventure,2016-07-25,19.99,81,12624
Zenzizenzic,Adventure,2015-07-23,9.99,90,4559
Shovel Knight,Adventure,2014-06-26,14.99,96,366098
DmC Devil May Cry,Adventure,2013-01-24,29.99,90,816356
Crimzon Clover  WORLD IGNITION,Adventure,2014-06-06,9.99,98,108883
Thief: Deadly Shadows,Adventure,2007-03-29,8.99,72,620683
Mega Man Legacy Collection,Adventure,2015-08-24,14.99,41,60666
Serious Sam Classic: The Second Encounter,Adventure,2010-09-22,99.99,98,659958
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,Adventure,2013-02-26,14.99,84,464811
Mighty Switch Force! Hyper Drive Edition,Adventure,2015-06-25,9.99,93,11046
Far Cry 2,Adventure,2008-10-22,9.99,43,1212437
BattleBlock Theater,Adventure,2014-05-15,14.99,98,2036858
Roche Fusion,Adventure,2015-01-23,12,99,3507
DOOM,Adventure,2016-05-12,59.99,78,1023251
Rogue Legacy,Adventure,2013-06-27,14.99,90,1209456
Trials Evolution Gold Edition,Adventure,2013-03-21,19.99,47,248799
Amnesia: The Dark Descent,Adventure,2010-09-08,19.99,93,3115164
The Talos Principle,Adventure,2014-12-11,9.99,96,646984
System Shock: Enhanced Edition,Adventure,2015-10-22,9.99,84,48743
Crysis Wars,Adventure,2008-09-17,19.99,64,792511
GUILTY GEAR Xrd -SIGN-,Adventure,2015-12-09,29.99,90,79777
Hyper Light Drifter,Adventure,2016-03-31,19.99,88,184627
Saints Row: The Third,Adventure,2011-11-14,14.99,96,3736549
Tron 2.0,Adventure,2014-10-10,9.99,64,30333
Crysis Warhead,Adventure,2008-09-17,19.99,64,792511
SOMA,Adventure,2015-09-21,29.99,93,245468
The Binding of Isaac,Adventure,2011-09-28,4.99,96,2855319
Trine 2,Adventure,2013-06-06,19.99,96,2511664
Just Cause 2,Adventure,2010-03-23,14.99,84,3975530
Fallout: New Vegas,Adventure,2010-10-19,9.99,93,4384760
Shatter,Adventure,2010-03-15,9.99,90,397132
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,Adventure,2013-09-26,4.99,64,122559
Downwell,Adventure,2015-10-15,2.99,98,169548
PlanetSide 2,Adventure,2012-11-20,Free,61,6331146
Enter the Gungeon,Adventure,2016-04-05,14.99,75,415192
Salt and Sanctuary,Adventure,2016-05-17,17.99,84,99590
Brothers in Arms: Earned in Blood,Adventure,2008-10-10,9.99,69,83634
ABZU,Adventure,2016-08-02,19.99,88,75569
Ikaruga,Adventure,2014-02-18,9.99,96,89771
SpeedRunners,Adventure,2016-04-19,14.99,90,1203845
