ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev 
Destinations,Free,2016-06-09,Free,93,61367
Maui,Free,2016-04-26,Free,12,91349
Fire With Fire: Online Tower Attack and Defense,Free,2016-03-29,Free,10,66452
Party Jousting,Free,2016-03-01,Free,81,124838
MechWarrior Online,Free,2015-12-10,Free,47,819162
World of Soccer online,Free,2015-08-26,Free,23,302802
Close Your Eyes,Free,2015-08-31,Free,69,112389
One Manga Day,Free,2015-05-04,Free,15,122559
16 Bit Arena,Free,2015-03-24,Free,32,108532
Sigils of Elohim,Free,2014-10-13,Free,88,237227
La Tale,Free,2014-06-17,Free,22,712734
Kings Bounty: Legions,Free,2013-12-10,Free,12,208998
War Inc. Battlezone,Free,2011-07-18,Free,10,1140199
Argos,Free,2016-08-12,Free,98,24547
Twisted Worlds,Free,2016-06-17,Free,8,36470
BattleStick,Free,2016-05-06,Free,5,192517
Age of Conquest IV,Free,2016-04-05,Free,41,177438
Shakes and Fidget,Free,2016-02-24,Free,64,520217
Take the Dream IX,Free,2016-04-01,Free,49,30333
Endless Sky,Free,2015-10-30,Free,72,390469
Missing Translation,Free,2015-09-24,Free,75,268963
Heroes of SoulCraft,Free,2015-07-20,Free,5,172178
Jigoku Kisetsukan: Sense of the Seasons,Free,2015-05-12,Free,88,151313
Everlasting Summer,Free,2014-11-19,Free,90,968371
Solstice Arena,Free,2013-10-15,Free,54,201810
Smashmuck Champions,Free,2013-09-11,Free,45,223376
The VR Museum of Fine Art,Free,2016-08-20,Free,N/A,11747
Kalonline,Free,2016-07-13,Free,12,85563
Paradox Paradigm,Free,2016-05-23,3.99,N/A,1332
Plastic Playground,Free,2016-04-18,Free,3,61016
MachineCraft,Free,2016-03-25,Free,39,225655
To Burn in Memory,Free,2016-01-19,Free,20,92051
Back to Dinosaur Island ,Free,2015-11-18,Free,15,434128
Lost Lands: A Hidden Object Adventure,Free,2015-09-24,Free,75,107480
Fingerbones,Free,2015-08-03,Free,54,207420
Trove,Free,2015-07-09,Free,47,6389707
Survarium,Free,2015-04-02,Free,11,2771509
Nightbanes,Free,2015-03-30,Free,19,137637
BloodRealm: Battlegrounds,Free,2015-02-12,Free,7,176912
Creativerse,Free,2014-08-12,Free,61,1838906
The Plan,Free,2014-02-14,Free,81,569836
No More Room in Hell,Free,2013-10-31,Free,78,6482810
Dystopia,Free,2009-02-06,Free,64,187432
Black Rose,Free,2016-03-15,Free,59,90297
Swordsman,Free,2016-01-28,Free,12,279308
Carpe Diem,Free,2015-11-30,Free,81,224954
Bloodwood Reload,Free,2015-11-02,Free,4,110636
Lamia Must Die,Free,2015-08-26,Free,20,67153
Curse of Mermos,Free,2015-06-23,Free,14,137813
Demise of Nations: Rome,Free,2015-04-21,Free,43,77673
InMind VR,Free,2015-01-19,Free,61,197426
Double Action: Boogaloo,Free,2014-10-23,Free,84,1652701
Galcon 2,Free,2014-12-05,Free,66,226181
The Four Kings Casino and Slots,Free,2015-06-01,Free,34,309991
SolForge,Free,2016-07-25,Free,31,281236
Super Crate Box,Free,2012-08-29,Free,78,922083
Magical Otoge Ciel,Free,2016-08-26,Free,N/A,5085
BrainBread 2,Free,2016-07-20,Free,N/A,737631
Legend of Numbers,Free,2016-06-02,Free,N/A,22267
Crush Crush,Free,2016-05-13,Free,78,171302
Mainland,Free,2015-05-08,Free,61,82407
how do you Do It,Free,2015-02-27,Free,64,263527
Tales Runner,Free,2015-02-17,Free,9,265105
DRAKERZ-Confrontation,Free,2014-05-19,Free,11,107305
Pinball Arcade,Free,2013-11-04,Free,38,656978
Age of Conan: Unchained - EU version,Free,2013-02-22,Free,36,402743
Dungeon Fighter Online,Free,2016-08-09,Free,61,178841
Elisa: The Innkeeper - Prequel,Free,2016-06-14,Free,49,87141
Vintage VR,Free,2016-05-02,Free,N/A,24722
StarBreak,Free,2016-05-10,Free,45,167444
Premium Pool,Free,2016-03-14,Free,9,200056
VEGA Conflict,Free,2015-12-14,Free,19,311744
One Way To Die: Steam Edition,Free,2015-09-01,Free,15,143073
Epic Cards Battle(TCG),Free,2015-07-09,Free,10,128345
Football Superstars,Free,2012-11-16,Free,13,439037
AirMech,Free,2012-11-08,Free,78,1178597
Pixel Puzzles Ultimate,Free,2016-09-09,Free,N/A,23144
Vinyl,Free,2016-07-01,Free,16,35768
Forge of Gods (RPG),Free,2016-05-06,Free,49,149911
The Bottom of the Well,Free,2016-03-03,Free,69,74517
Knight Online,Free,2016-01-25,Free,7,1201917
Heroes and Titans: Online,Free,2015-11-12,Free,2,43132
Pool Nation FX,Free,2015-12-07,Free,23,438862
RPG MO,Free,2015-08-18,Free,45,241611
Metro Conflict,Free,2015-06-22,Free,12,506716
TDP5 Arena 3D,Free,2015-03-26,Free,7,143423
Brick-Force (EU),Free,2014-12-11,Free,5,1319391
Zombies Monsters Robots,Free,2014-09-19,Free,25,713786
NEOTOKYO,Free,2014-07-04,Free,28,1064630
Thanatos,Free,2016-08-24,Free,5,21391
SpellKnights,Free,2016-07-13,Free,5,54704
Rexodus: A VR Story Experience,Free,2016-06-08,Free,31,37522
Imperia Online,Free,2016-04-15,Free,4,60490
Istrolid,Free,2016-05-06,Free,72,296666
The Lost Mythologies,Free,2016-01-28,Free,36,201284
Dragomon Hunter,Free,2015-12-02,Free,16,396431
Relive,Free,2015-10-15,Free,31,50146
Audition Online,Free,2015-06-03,Free,24,341551
Ultimate Tic-Tac-Toe,Free,2015-04-28,Free,59,225480
Among Ripples,Free,2015-01-22,Free,34,425887
Boid,Free,2016-07-08,Free,59,182348
Epic Battle Fantasy 3,Free,2016-09-01,Free,93,27527
UNCORPOREAL - Alcatraz Island Lofts,Free,2016-07-20,Free,N/A,15079
Zaccaria Pinball,Free,2016-06-16,Free,45,42431
The Panic Room,Free,2016-04-27,Free,8,72413
Forgotten Myths CCG,Free,2016-03-21,Free,19,32963
Tap Tap Legions - Epic battles within 5 seconds!,Free,2016-02-08,Free,11,122734
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",Free,2015-12-04,Free,88,357156
Pink Heaven,Free,2015-11-03,Free,78,105201
WARMODE,Free,2015-08-25,Free,22,1532071
Tactical Genius,Free,2015-06-24,Free,36,59789
Spooky's House of Jump Scares,Free,2015-07-28,Free,84,962761
The Old Tree,Free,2015-01-26,Free,78,237052
Warside,Free,2015-05-05,Free,25,153067
Eldevin,Free,2014-11-05,Free,45,320511
Victory: The Age of Racing,Free,2016-02-12,Free,7,323842
ORION: Prelude,Free,2013-04-15,Free,41,2165729
Driftwood The Visual Novel,Free,2016-08-08,Free,N/A,8591
Transmissions: Element 120,Free,2016-06-16,Free,90,429218
The Cubicle,Free,2016-04-05,Free,75,95031
CUPID - A free to play Visual Novel,Free,2016-03-04,Free,66,102395
Force of Elements,Free,2015-12-29,Free,47,17709
Electric Highways,Free,2015-10-28,Free,78,90998
Cards and Castles,Free,2015-12-18,Free,30,92051
Tap Tap Infinity,Free,2015-07-17,Free,39,249676
Team Fortress 2,Indie,2007-10-10,Free,90,35072643
Dota 2,Indie,2013-07-09,Free,78,80413038
HEX: Shards of Fate,Indie,2016-04-19,Free,28,172003
The Lord of the Rings Online,Indie,2012-06-06,Free,54,1975491
Tribes: Ascend,Indie,2012-06-27,Free,54,1710211
Path of Exile,Indie,2013-10-23,Free,88,5376451
PlanetSide 2,Indie,2012-11-20,Free,61,6331146
RIFT,Indie,2011-03-01,Free,49,2432939
Might & Magic: Duel of Champions,Indie,2013-11-07,Free,54,597189
SMITE,Indie,2015-09-08,Free,61,3723224
EverQuest II,Indie,2011-12-07,Free,39,531789
War Thunder,Indie,2013-08-15,Free,59,9461213
Realm of the Mad God,Indie,2012-02-20,Free,56,2565667
Duelyst,Indie,2016-08-23,Free,78,180770
WildStar,Indie,2016-06-09,Free,41,690291
Marvel Heroes 2015,Indie,2013-06-03,Free,52,4662665
Card Hunter,Indie,2015-07-13,Free,69,700811
ArcheAge,Indie,2015-03-26,Free,16,1014835
Altitude,Indie,2009-12-04,Free,88,432900
Bloodline Champions,Indie,2011-10-28,Free,69,615774
Ragnarok,Indie,2013-10-31,Free,49,445700
Rise of Flight: Channel Battles Edition,Indie,2013-09-05,Free,13,244416
TERA,Indie,2015-05-05,Free,56,3515277
Evolve,Indie,2015-02-10,Free,25,4263078
Vindictus,Indie,2012-06-22,Free,43,900517
Super Monday Night Combat,Indie,2012-04-19,Free,31,1259777
Star Trek Online,Indie,2012-01-31,Free,45,1490166
WAKFU,Indie,2014-09-18,Free,52,1056038
Chronicle: RuneScape Legends,Indie,2016-05-26,Free,52,270891
Stronghold Kingdoms,Indie,2012-02-27,Free,28,1299578
Star Conflict,Indie,2013-02-27,Free,56,1797176
Blacklight: Retribution,Indie,2012-07-02,Free,45,2664029
Neverwinter,Indie,2013-12-05,Free,47,4133856
Age of Wushu,Indie,2014-03-27,Free,20,47165
AirBuccaneers,Indie,0000-00-00,Free,18,177964
HAWKEN,Indie,2014-02-14,Free,64,3101138
Loadout,Indie,2014-01-31,Free,66,5143081
Champions Online: Free For All,Indie,2011-06-14,Free,43,718345
DC Universe Online,Indie,2011-11-02,Free,56,2268300
Block N Load Beta,Indie,2015-04-30,Free,43,1786130
Fallen Earth,Indie,2012-02-22,Free,15,1820496
Combat Arms,Indie,2012-07-09,Free,19,333486
Global Agenda,Indie,2011-06-14,Free,45,402568
Tom Clancy's Ghost Recon Phantoms - NA,Indie,2014-04-10,Free,34,4101595
Forsaken World ,Indie,2011-06-14,Free,36,367325
Magicka: Wizard Wars,Indie,2015-04-28,Free,64,3379568
Warframe,Indie,2013-03-25,Free,81,12915825
CrimeCraft GangWars,Indie,2011-08-22,Free,10,735878
Rise of Incarnates,Indie,2015-06-30,Free,19,1745628
The Banner Saga: Factions,Indie,2013-02-25,Free,41,410107
Dungeonland,Indie,2013-11-12,Free,36,926992
Dragon Saga,Indie,2015-12-22,Free,31,233370
Prime World,Indie,2014-03-31,Free,22,526529
Ryzom,Indie,2016-05-06,Free,16,95031
The Mighty Quest For Epic Loot,Indie,2014-02-25,Free,28,2065613
Defiance,Indie,2014-06-04,Free,47,3182142
Spiral Knights,Indie,2011-06-14,Free,61,2497462
Dragon's Prophet,Indie,2013-09-23,Free,24,134306
Devilian,Indie,2015-12-10,Free,18,366799
Dirty Bomb,Indie,2015-06-01,Free,43,5276510
Spellweaver,Indie,2016-02-01,Free,41,158678
Dragon's Prophet (EU),Indie,2013-09-18,Free,38,216363
Warface,Indie,2014-07-01,Free,36,5554064
SAGA,Indie,2015-08-04,Free,9,81004
Firefall,Indie,2014-07-29,Free,28,2840591
Akaneiro: Demon Hunters,Indie,2014-11-25,Free,5,55581
Tactical Intervention,Indie,2013-10-08,Free,26,2359298
Viridi,Indie,2015-08-19,Free,72,489007
Dragons and Titans,Indie,2014-03-12,Free,47,1037102
Only If,Indie,2014-07-25,Free,24,1134764
Pink Hour,Indie,2015-10-28,Free,84,113441
Wind of Luck: Arena,Indie,2015-08-18,Free,15,143774
UberStrike,Indie,2015-06-17,Free,5,840377
March of War: Face Off,Indie,2015-07-16,Free,45,115195
CroNix,Indie,2015-07-17,Free,7,255637
Uncharted Waters Online: Gran Atlas,Indie,2014-10-03,Free,24,236701
TOME: Immortal Arena,Indie,2014-11-21,Free,25,439738
Get Off My Lawn!,Indie,2014-11-11,Free,41,323667
Ragnarok Online 2,Indie,2013-05-01,Free,19,1158784
You Have 10 Seconds 2,Indie,2016-08-25,Free,69,49795
VRMultigames,Indie,2016-07-25,Free,N/A,22793
BallisticNG,Indie,2016-05-31,Free,72,81530
Epic Clicker Journey,Indie,2016-04-21,Free,28,172178
Khan: Absolute Power,Indie,2016-03-18,Free,9,58912
Allods Online RU,Indie,2016-01-26,Free,20,94505
I must kill...: Fresh Meat,Indie,2015-11-30,Free,2,58737
Divine Souls,Indie,2014-08-15,Free,10,506190
Cannons Lasers Rockets,Indie,2014-08-25,Free,1,208297
Elsword,Indie,2014-07-02,Free,52,1009224
MapleStory,Indie,2012-08-09,Free,32,601923
APB Reloaded,Indie,2011-12-06,Free,25,4102998
A Verdant Hue,Indie,2016-07-26,14.99,N/A,1753
Ortus Regni,Indie,2016-06-21,Free,47,28755
Crazy Killer,Indie,2016-04-26,Free,8,185854
AltspaceVR,Indie,2016-03-31,Free,75,60841
Tactical Craft Online,Indie,2016-02-12,Free,10,217765
Metal War Online: Retribution,Indie,2015-12-01,Free,13,351896
Absent,Indie,2015-08-31,Free,49,67328
Battle for Blood - Epic battles within 30 seconds!,Indie,2015-07-08,Free,34,146053
The Gate,Indie,2015-04-27,Free,26,93278
Invisible Apartment,Indie,2015-03-02,Free,32,149209
CaesarIA,Indie,2015-01-20,Free,26,263527
Shop Heroes,Indie,2016-08-15,Free,28,129572
Jonah's Path,Indie,2016-07-07,Free,N/A,41204
Legionwood: Tale of the Two Swords,Indie,2016-05-10,Free,66,33138
Surgeon Simulator VR: Meet The Medic,Indie,2016-04-05,Free,47,199004
Battle Cars,Indie,2016-03-02,Free,N/A,25423
Frosty Kiss,Indie,2016-01-08,Free,69,95031
Steel Ocean,Indie,2015-11-12,Free,32,627346
Astro Lords,Indie,2015-09-29,Free,28,59263
the static speaks my name,Indie,2015-08-10,Free,54,267034
Dev Guy,Indie,2015-05-20,Free,52,238104
Fork Parker's Holiday Profit Hike,Indie,2014-12-18,Free,56,290003
Transformice,Indie,2015-01-30,Free,56,1834523
Battle Islands,Indie,2014-08-06,Free,47,461305
Depression Quest,Indie,2014-08-11,Free,15,259845
Dogs of War Online - Beta,Indie,2014-02-04,Free,25,191816
Dungeons & Dragons Online,Indie,2012-06-25,Free,43,651016
AdVenture Communist,Indie,2016-08-23,Free,31,171828
Jacob,Indie,2016-07-18,Free,N/A,16306
Eclipse --- Defending the motherland,Indie,2016-05-26,Free,N/A,41028
Garlock Online,Indie,2016-05-30,Free,0,36820
Jesus Christ RPG,Indie,2016-03-18,Free,49,88719
Trinium Wars,Indie,2016-03-02,Free,15,198829
Emily is Away,Indie,2015-11-20,Free,75,1281694
Crusaders of the Lost Idols,Indie,2015-10-13,Free,61,287724
Fishing Planet,Indie,2015-08-11,Free,49,1622193
Bitweb,Indie,2015-06-03,Free,3,52074
Copa Petrobras de Marcas,Indie,2015-04-08,Free,17,655575
TDP4:Team Battle,Indie,2015-03-12,Free,4,193744
Sunrider: Mask of Arcadius,Indie,2014-07-09,Free,88,500053
My Lands,Indie,2014-09-16,Free,69,273697
theHunter,Indie,2014-06-03,Free,5,3829651
Kingdom Wars,Indie,2013-04-01,Free,28,483221
Piñata,Indie,2016-09-01,Free,N/A,3857
UNCORPOREAL - Fluffy!,Indie,2016-07-20,Free,N/A,18235
Insanity Clicker,Indie,2016-06-07,Free,24,291932
BattleSouls,Indie,2016-05-12,Free,25,100467
Tree of Savior (English Ver.),Indie,2016-03-28,Free,18,1458080
Pro Evolution Soccer 2016 myClub,Indie,2016-02-03,Free,15,1565560
LoveBeat,Indie,2016-01-13,Free,34,116773
Gladiators Online: Death Before Dishonor,Indie,2015-11-04,Free,6,132553
Heroes of Scene,Indie,2015-08-26,Free,12,233545
Bierzerkers,Indie,2016-02-25,Free,8,195848
Shadow Hunter,Indie,2015-04-20,Free,15,54003
Boring Man - Online Tactical Stickman Combat,Indie,2015-02-20,Free,59,696252
Hazard Ops,Indie,2014-10-08,Free,34,451661
Famaze,Indie,2014-05-05,Free,52,143949
Villagers and Heroes,Indie,2014-04-17,Free,15,640145
Marvel Puzzle Quest,Indie,2013-12-05,Free,31,348740
Gear Up,Indie,2015-01-28,Free,39,1892734
You Have 10 Seconds,Indie,2016-08-02,Free,78,152891
SWARMRIDERS,Indie,2016-06-15,Free,75,36294
The Average Everyday Adventures of Samantha Browne,Indie,2016-04-18,Free,41,64172
Elemental Heroes,Indie,2016-03-03,Free,16,59964
Simply Chess,Indie,2015-09-11,Free,32,238455
Codename CURE,Indie,2015-07-17,Free,56,1258199
Victory Command,Indie,2015-05-19,Free,36,204440
Kingdoms CCG,Indie,2015-01-22,Free,14,78900
Floating Point,Indie,2014-06-06,Free,93,816006
Anarchy Arcade,Indie,2014-09-03,Free,31,582285
Soldier Front 2,Indie,2013-07-03,Free,54,528633
Pox Nora,Indie,2014-10-15,Free,36,380651
Astro Lords: Oort Cloud,Indie,2016-01-15,Free,N/A,58737
Might & Magic Heroes Online,Indie,2015-11-24,Free,5,210927
Golden Rush,Indie,2015-09-23,Free,7,137988
Relic Hunters Zero,Indie,2015-08-18,Free,90,782868
Red Crucible: Firestorm,Indie,2015-12-22,Free,17,1609218
AdVenture Capitalist,Indie,2015-03-30,Free,78,3662207
Karos,Indie,2014-12-24,Free,11,318758
The Way of Life,Indie,2016-05-31,Free,43,1022199
Skara - The Blade Remains,Indie,2014-10-27,Free,31,107831
Toribash,Indie,2014-05-16,Free,72,2323355
F.E.A.R. Online,Indie,2014-10-21,Free,6,960832
Wartune,Indie,2016-08-15,Free,N/A,7189
RoShamBo Arena,Indie,2016-07-14,Free,23,140443
The NADI Project,Indie,2016-06-01,Free,24,43308
Antenna,Indie,2016-04-07,Free,36,153944
World of Fishing,Indie,2016-09-06,Free,9,33840
Destination Sol,Indie,2015-02-05,Free,52,376267
sZone-Online,Indie,2015-12-29,Free,5,1627102
Guns and Robots,Indie,2014-08-04,Free,26,1098469
C9,Indie,2012-09-13,Free,41,549322
Battleline: Steel Warfare,Indie,2016-08-25,Free,31,21040
Emerland Solitaire: Endless Journey,Indie,2016-07-17,Free,N/A,12799
NEKOPALIVE,Indie,2016-05-31,Free,88,98889
The SKIES,Indie,2016-04-16,Free,11,671355
Clash of the Monsters,Indie,2016-04-13,Free,9,65049
Full Tilt Poker,Indie,2016-01-26,Free,5,60315
Legend of Dungeon: Masters,Indie,2015-11-30,Free,22,102395
War of Beach,Indie,2015-10-15,Free,20,100467
Silver Creek Falls - Chapter 1,Indie,2015-08-12,Free,78,88719
Subspace Continuum,Indie,2015-07-03,Free,66,96434
Total War Battles: KINGDOM,Indie,2015-04-09,Free,10,518989
Mandagon,Indie,2016-08-03,Free,93,197602
LuckCatchers,Indie,2016-06-15,Free,11,90823
Skyreach,Indie,2016-04-29,Free,9,72238
Irrational Exuberance,Indie,2016-04-05,Free,96,66627
Lucent Heart F2P MMO,Indie,2016-02-11,Free,10,125539
Apotheon Arena,Indie,2015-12-08,Free,47,248975
Mortal Online,Indie,2015-08-31,Free,9,528984
Regimental Chess,Indie,2015-04-29,Free,8,71010
Rustbucket Rumble,Indie,2015-05-04,Free,13,218116
CubeGun,Indie,2014-05-21,Free,36,93453
Dungeon Party,Indie,2013-03-13,Free,5,310692
MSI Electric City,Indie,2016-08-09,Free,N/A,18936
Hero Zero,Indie,2016-07-05,Free,36,210752
Riders of Icarus,Indie,2016-07-06,Free,20,1275557
realities,Indie,2016-04-05,Free,56,113441
Metal Assault,Indie,2016-03-18,Free,16,76972
Granado Espada,Indie,2016-01-07,Free,6,68030
Krosmaster Arena,Indie,2015-11-09,Free,22,128695
Metal Reaper Online,Indie,2015-09-17,Free,30,185328
Time Clickers,Indie,2015-07-23,Free,75,766036
Batla,Indie,2015-05-14,Free,16,592630
Heroine's Quest: The Herald of Ragnarok,Indie,2014-03-20,Free,69,253884
Magic Barrage - Bitferno,Indie,2015-01-01,Free,4,280710
Unturned,Indie,2014-07-07,Free,84,24423365
Xam,Indie,2014-07-15,Free,N/A,335414
GunZ 2: The Second Duel,Indie,2014-05-01,Free,28,3010139
Gotham City Impostors: Free To Play,Indie,2012-08-30,Free,64,2414528
The Journey Home,Indie,2016-08-22,Free,N/A,7539
Destiny of Ancient Kingdoms,Indie,2016-08-29,Free,23,15955
Bitardia Cards: Memes of 2ch,Indie,2016-05-19,Free,30,27177
Ember Strike,Indie,2016-05-26,Free,52,73816
Age of Magic CCG,Indie,2016-03-20,Free,17,40678
Cloney,Indie,2016-01-19,Free,13,81355
MoW: Face Off XL,Indie,2015-11-18,Free,39,43658
The Secret of Tremendous Corporation,Indie,2015-10-12,Free,59,78374
All Is Dust,Indie,2015-06-26,Free,7,312095
Red Stone Online,Indie,2015-04-01,Free,15,92051
Spartans Vs Zombies Defense,Indie,2015-01-06,Free,8,148333
The Expendabros,Indie,2014-08-05,Free,98,2530424
Requiem,Indie,2015-03-04,Free,18,220395
Sins of a Dark Age,Indie,2015-05-08,Free,26,341551
Minds Eyes,Indie,2016-08-31,Free,N/A,49269
Regeria Hope Episode 1,Indie,2016-07-25,Free,N/A,29456
Allods Online My.com,Indie,2016-06-03,Free,19,70309
One Thousand Lies,Indie,2016-04-24,Free,84,66627
The Divergent Series: Allegiant VR,Indie,2016-03-17,Free,26,50321
CABAL Online,Indie,2016-02-17,Free,18,169373
Battle Battalions,Indie,2015-11-03,Free,15,144300
Nomad,Indie,2015-06-26,Free,25,143949
Escape,Indie,2015-04-20,Free,16,128520
Without Within,Indie,2015-01-22,Free,75,191465
Cubic Castles,Indie,2014-08-13,Free,34,850196
Darkwind: War on Wheels,Indie,2014-08-22,Free,6,201284
Dwarfs F2P,Indie,2012-10-18,Free,64,515483
A.V.A - Alliance of Valiant Arms,Indie,2011-06-14,Free,14,1219625
Atulos Online,Indie,2016-04-30,Free,31,42957
Mathoria: It All Adds Up,Indie,2016-03-30,Free,15,27878
Governor of poker 3,Indie,2016-02-19,Free,34,285620
Gunslingers,Indie,2015-12-17,Free,14,79777
Soccer Manager 2015,Indie,2015-07-16,Free,32,313322
Stargunner,Indie,2014-05-05,Free,N/A,62594
America's Army: Proving Grounds Beta,Indie,2013-08-01,Free,43,1956555
Gems of War,Indie,2014-11-20,Free,34,254059
Robocraft,Indie,2014-07-08,Free,39,10425201
Lost Saga North America,Indie,2014-11-25,Free,17,250903
Age of Conan: Unchained - US version,Indie,2013-02-22,Free,36,180945
Heroes of Shadow Guard,Indie,2016-08-03,Free,N/A,11046
Clover Tale,Indie,2016-06-15,Free,38,38749
Magic Duels,Indie,2015-07-29,Free,31,1804014
Run and Fire,Indie,2015-05-27,Free,11,570538
FreeStyle2: Street Basketball,Indie,2015-04-01,Free,39,3706041
HIT,Indie,2015-02-09,Free,3,246871
Velvet Sundown,Indie,2014-07-22,Free,20,599819
Happy Wars,Indie,2014-07-23,Free,45,1689171
Moon Breakers,Indie,2012-05-17,Free,18,309114
Clean'Em Up,Indie,2016-08-18,Free,N/A,7890
Red Trigger,Indie,2016-07-08,Free,75,182874
Khimera: Destroy All Monster Girls,Indie,2016-05-08,Free,90,33664
PITCH-HIT : RAMPAGE LEVEL,Indie,2016-04-05,Free,N/A,57334
Atom Universe,Indie,2016-03-04,Free,10,71186
Iron Snout,Indie,2016-01-27,Free,99,716591
GASP,Indie,2016-01-19,Free,0,162710
SC2VN - The eSports Visual Novel,Indie,2015-09-22,Free,88,108532
Infinity Wars - Animated Trading Card Game,Indie,2014-09-05,Free,56,572992
Atlantica,Indie,2012-06-29,Free,36,257566
Rail Adventures - VR Tech Demo,Indie,2016-08-25,Free,N/A,7890
NVIDIA® VR Funhouse,Indie,2016-07-14,Free,52,109759
Blind Trust,Indie,2016-05-27,Free,14,168496
SurrealVR,Indie,2016-04-15,Free,N/A,44184
Emporea,Indie,2016-06-08,Free,19,129221
Time of Dragons,Indie,2016-02-01,Free,32,474630
Sphere III: Enchanted World,Indie,2015-12-02,Free,8,114318
Lineage II,Indie,2015-11-12,Free,11,83108
Shadow of Kingdoms,Indie,2015-08-11,Free,2,69608
Echo of Soul,Indie,2015-06-22,Free,19,498125
Strife,Indie,2015-05-22,Free,45,1315007
HIS (Heroes In the Sky),Indie,2015-03-03,Free,6,214083
Dizzel,Indie,2014-12-10,Free,13,1259777
Amazing World,Indie,2014-08-07,Free,43,550900
Moirai,Indie,2016-07-22,Free,96,276502
RuneScape: Idle Adventures,Indie,2016-09-01,Free,28,82056
Ghoul Kid,Indie,2016-04-26,Free,25,49094
Lost girl`s [diary],Indie,2016-03-24,Free,59,71010
Soccer Manager,Indie,2016-02-09,Free,19,142547
Metaverse Construction Kit,Indie,2015-12-06,Free,28,115721
Let the Cat In,Indie,2015-08-27,Free,54,165340
Anno Online,Indie,2015-07-01,Free,11,344883
Alganon,Indie,2015-05-19,Free,4,85914
Walkover,Indie,2015-03-23,Free,22,75569
Rising Angels: Reborn,Indie,2014-09-12,Free,49,164288
Fistful of Frags,Indie,2014-05-09,Free,84,2642112
Dungeon Defenders II,Indie,2014-12-05,Free,45,2174846
ROSE Online,Indie,2012-10-23,Free,31,413088
MicroVolts Surge,Indie,2012-07-05,Free,34,746573
Galaxy Control: 3D Strategy,Indie,2016-08-10,Free,6,81706
ChuSingura46+1 S,Indie,2016-06-21,Free,75,173581
Atlas Reactor,Indie,2016-05-12,Free,49,54354
The Lab,Indie,2016-04-05,Free,100,280535
Steno Arcade,Indie,2016-03-30,Free,41,45587
Sepia Tears,Indie,2016-01-08,Free,75,97486
Piercing Blow,Indie,2015-11-10,Free,7,440966
Frozen Free Fall: Snowball Fight,Indie,2015-09-15,Free,15,180594
Karos Returns,Indie,2015-07-30,Free,38,124838
Clicker Heroes,Indie,2015-05-13,Free,78,4117550
Tom Clancy's Ghost Recon Phantoms - EU,Indie,2015-04-10,Free,N/A,3807735
School of Dragons: How to Train Your Dragon,Indie,2014-12-04,Free,10,1058493
Grand Chase,Indie,2015-07-17,Free,43,566856
Aura Kingdom,Indie,2014-07-01,Free,52,2041417
Haunted Memories,Indie,2013-10-04,Free,22,788654
Jagged Alliance Online - Steam Edition,Indie,2013-06-05,Free,12,129046
EverQuest Free-to-Play,Indie,2012-12-13,Free,32,393976
The Pirate: Caribbean Hunt,Indie,2016-08-24,Free,47,153242
Zezenia Online,Indie,2016-07-07,Free,32,41204
The Abbey of Crime Extensum,Indie,2016-05-19,Free,61,38048
Lucid9,Indie,2016-04-14,Free,88,70660
Origin Of Destiny,Indie,2016-04-01,Free,38,36119
Sven Co-op,Indie,2016-01-22,Free,72,1218047
Soccer Manager 2016,Indie,2015-10-07,Free,32,302276
Dream Of Mirror Online,Indie,2015-08-14,Free,10,166918
Shot In The Dark,Indie,2015-06-10,Free,9,62945
Navy Field 2 : Conqueror of the Ocean,Indie,2015-03-05,Free,9,514431
Wild Warfare,Indie,2014-07-15,Free,34,254059
ACE - Arena: Cyber Evolution,Indie,2014-08-18,Free,31,450258
Battle Nations,Indie,2014-09-18,Free,24,320336
RaceRoom Racing Experience ,Indie,2013-02-12,Free,14,2839013
Empires,Indie,2008-07-28,Free,69,83108
Shonen Idle Z,Indie,2016-07-22,Free,17,74517
UFO Online: Invasion,Indie,2016-06-08,Free,12,127994
Bloons TD Battles,Indie,2016-04-20,Free,52,578428
PWI,Indie,2016-04-19,Free,8,72238
Immortal Empire,Indie,2015-12-03,Free,34,88894
Uebergame,Indie,2015-10-26,Free,7,115370
Teeworlds,Indie,2015-08-24,Free,78,578077
Eternal Senia,Indie,2015-06-18,Free,98,424134
Deepworld,Indie,2015-04-22,Free,18,191465
Universal Combat CE,Indie,2015-02-06,9.99,5,102746
Color Symphony,Indie,2014-09-15,Free,39,324368
Royal Quest,Indie,2014-08-06,Free,26,708175
World of Guns: Gun Disassembly,Indie,2014-05-21,Free,56,1962517
Ascend: Hand of Kul,Indie,2014-05-20,Free,30,569135
Puzzle Pirates,Indie,2011-08-31,Free,52,352597
Star Crusade CCG,Indie,2016-09-07,Free,41,97837
Comedy Quest,Indie,2015-09-02,Free,52,67854
Aberoth,Indie,2015-07-17,Free,16,154294
METAL SLUG DEFENSE,Indie,2015-05-01,Free,9,422556
Reckless Ruckus,Indie,2015-03-20,Free,2,55406
Battlegrounds of Eldhelm,Indie,2014-10-22,Free,32,108707
Fiesta Online NA,Indie,2014-05-20,Free,14,346636
