ime,ocena_ign
Star Trek Online,6.8
VVVVVV,7.5
BioShock 2,9.1
S.T.A.L.K.E.R.: Call of Pripyat,8.2
Blood Bowl,6.4
Mass Effect 2,9.6
Magnetis,7.5
Twin Sector,4.3
Wings of Prey,8.3
Tales of Monkey Island Chapter 5: Rise of the Pirate God,8.3
Rogue Warrior,1.5
Serious Sam HD: The First Encounter,7.5
James Cameron's Avatar: The Game,6.8
Torchlight,8.6
The Sims 3: World Adventures,8.3
Call of Duty: Modern Warfare 2,9.5
Painkiller: Resurrection,2.6
Star Wars: The Force Unleashed - Ultimate Sith Edition,7.5
Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,7.2
Fallen Earth: Welcome to the Apocalypse,8.1
Dreamkiller,4.2
Machinarium,8.1
Borderlands,8.8
Tropico 3,8.4
Fallout 3: Game of the Year Edition,9.6
NBA 2K10,7.9
Cities XL,8.1
CrimeCraft,5.6
Risen,8.6
Aion,8.5
Operation Flashpoint: Dragon Rising,8.2
Star Wars The Clone Wars: Republic Heroes,4.8
Champions Online,7.6
Majesty 2: The Fantasy Kingdom Sim,7.5
Batman: Arkham Asylum,9.3
Resident Evil 5,9.3
Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,7.9
"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",7.2
Osmos,8.5
Wolfenstein,7.3
Hearts of Iron III,8.5
Trine,8.2
Bookworm Adventures: Volume 2,8.3
East India Company,7.7
Bionic Commando,7.5
Nancy Drew: The Ransom of the Seven Ships,7.3
Street Fighter IV,8.9
The Secret of Monkey Island: Special Edition,8.7
Dawn of Discovery,8.2
Droplitz,7.5
Rise of Flight: The First Great Air War,7.9
Fuel,5.1
Ice Age: Dawn of the Dinosaurs,6.5
Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,7.9
America's Army 3,8.4
ArmA II,7.8
Harry Potter and the Half-Blood Prince,7.5
Call of Juarez: Bound in Blood,7.7
Overlord II,6.3
Fallout 3: Point Lookout,8.5
Spore Galactic Adventures,7.7
Yosumin!,7.1
Still Life 2,7.5
Alien Shooter 2: Reloaded,7.5
Damnation,2.5
Ghostbusters: The Video Game,7.6
Prototype,7.5
Restaurant Empire II,6.9
Terminator Salvation,6.3
The Sims 3,8.9
Helldorado,5.7
Tunnel Rats: 1968,3.8
Killing Floor,7.5
Necrovision,6.9
Battlestations: Pacific,7.7
Free Realms,8.8
Theatre of War 2: Africa 1943,6.8
Fallout 3: Broken Steel,8.5
The Chronicles of Spellborn,7.5
MLB Dugout Heroes,7.4
Smashing Toys,3.5
X-Men Origins: Wolverine,7.8
Cogs,7.3
Zeno Clash,8.4
And Yet It Moves,8.4
