"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"46","Heroes of Might & Magic V","May 13, 2008","$9.99","69% (87%/77%)","349,091 ±15,282","22:13"
"108","Anno Online","Jul 1, 2015","Free","11% (50%)","344,883 ±15,189","09:57"
"115","Assassins Creed Unity","Nov 11, 2014","$39.99","13% (52%)","324,894 ±14,743","27:53"
"63","The Crew","Dec 1, 2014","$29.99","28% (67%/71%)","314,024 ±14,495","41:41"
"1","Tom Clancy's Splinter Cell: Chaos Theory","Aug 27, 2009","$9.99","88% (93%/92%)","309,816 ±14,397","06:48"
"110","TrackMania Stadium","Jun 20, 2013","$9.99","78% (90%)","308,764 ±14,373","17:57"
"120","The Settlers Online","Aug 19, 2015","Free","4% (34%)","301,926 ±14,213","22:15"
"62","Tom Clancy's Ghost Recon Future Soldier","Jun 26, 2012","$19.99","28% (67%/71%)","267,209 ±13,372","15:43"
"67","Heroes of Might & Magic V: Tribes of the East","Oct 10, 2008","$9.99","84% (92%/70%)","261,073 ±13,217","32:56"
"122","Tom Clancy's EndWar Online","Jan 25, 2016","Free","4% (36%)","250,553 ±12,948","02:07"
"47","Might & Magic: Clash of Heroes","Sep 22, 2011","$9.99","84% (92%/76%)","249,851 ±12,930","20:20"
"22","Prince of Persia","Dec 10, 2008","$9.99","46% (77%/82%)","249,150 ±12,912","04:00"
"16","Trials Evolution Gold Edition","Mar 21, 2013","$19.99","48% (78%/85%)","248,799 ±12,903","16:44"
"15","Tom Clancy's Rainbow Six: Vegas","Apr 9, 2008","$9.99","41% (75%/85%)","246,345 ±12,839","02:29"
"4","Prince of Persia: The Sands of Time","Nov 21, 2008","$9.99","69% (87%/89%)","231,266 ±12,440","03:44"
"70","I Am Alive","Sep 6, 2012","$14.99","28% (67%/66%)","229,863 ±12,403","04:06"
"2","Tom Clancy's Splinter Cell","Apr 1, 2008","$9.99","69% (87%/91%)","227,409 ±12,336","05:16"
"72","Heroes of Might & Magic V: Hammers of Fate","Oct 10, 2008","$9.99","N/A (N/A/66%)","225,831 ±12,293","12:56"
"29","Tom Clancy's Splinter Cell: Double Agent","Feb 13, 2009","$9.99","9% (47%/80%)","214,258 ±11,974","04:50"
"89","Might & Magic Heroes Online","Nov 24, 2015","Free","5% (37%)","210,927 ±11,881","05:56"
"52","Prince of Persia: The Forgotten Sands","Jun 8, 2010","$9.99","30% (68%/75%)","210,401 ±11,866","06:50"
"32","Driver San Francisco","Sep 27, 2011","$19.99","36% (72%/80%)","208,648 ±11,817","13:05"
"40","Call of Juarez: Bound in Blood","Jul 2, 2009","$9.99","61% (84%/78%)","201,985 ±11,627","05:56"
"5","Rayman Legends","Sep 3, 2013","$29.99","90% (94%/89%)","201,108 ±11,601","15:49"
"54","Far Cry Primal","Feb 29, 2016","$59.99","32% (70%/74%)","199,881 ±11,566","23:50"
"10","Rayman Origins","Mar 29, 2012","$19.99","90% (94%/86%)","198,478 ±11,525","10:17"
"20","Prince of Persia: Warrior Within","Nov 21, 2008","$9.99","69% (87%/83%)","198,303 ±11,520","04:35"
"85","Call of Juarez: The Cartel","Sep 13, 2011","$9.99","11% (50%/51%)","197,251 ±11,490","07:38"
"13","Prince of Persia: The Two Thrones","Nov 21, 2008","$9.99","48% (78%/85%)","196,900 ±11,479","04:06"
