ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Lone Survivor: The Director's Cut,2012-04-23,14.99,72,568434,01:05
Divine Divinity,2012-07-05,5.99,72,435706,07:46
Arcanum,2016-08-29,5.99,N/A,36119,03:52
Jade Empire: Special Edition,2007-02-27,14.99,41,191816,07:32
To the Moon,2012-09-07,9.99,98,1016764,03:31
Kingdoms of Amalur: Reckoning,2012-02-07,19.99,72,773750,25:47
Gothic,2001-03-15,19.99,56,288074,05:05
Shadowrun: Hong Kong,2015-08-20,19.99,66,202862,25:02
Borderlands,2009-10-26,19.99,90,2956136,29:38
Dangerous High School Girls in Trouble!,2009-02-23,19.99,38,41379,01:45
Sunless Sea,2015-02-06,18.99,54,345584,12:29
The Age of Decadence,2015-10-14,29.99,61,41905,15:39
Dragon's Dogma: Dark Arisen,2016-01-15,29.99,78,419049,32:20
Overlord,2009-11-12,4.99,84,1097943,06:03
Marvel Heroes 2015,2013-06-03,Free,52,4662665,29:45
Dungeon Defenders,2011-10-18,14.99,84,1897117,43:27
Starbound,2016-07-22,12.74,75,2357720,52:58
Age of Wonders III,2014-03-31,29.99,54,496547,40:41
Titan Quest: Immortal Throne,2007-03-05,Free,81,1036927,25:42
Dead Island,0000-00-00,19.99,66,3423928,17:45
Rampage Knights,2015-09-04,11.99,90,86264,10:57
Icewind Dale: Enhanced Edition,2014-10-30,19.99,66,98713,26:25
The Legend of Heroes: Trails in the Sky SC,2015-10-29,29.99,98,26125,40:54
DARK SOULS II: Scholar of the First Sin,2015-04-01,39.99,66,801804,59:17
FATE,2013-12-12,7.99,81,80829,08:41
ArcheAge,2015-03-26,Free,16,1014835,45:53
Elite: Dangerous,2015-04-02,29.99,26,819863,60:27
GrandiaÂ® II Anniversary Edition,2015-08-24,19.99,84,64348,10:35
S.T.A.L.K.E.R.: Call of Pripyat,2010-02-11,19.99,93,786725,21:16
Card Hunter,2015-07-13,Free,69,700811,09:45
SpellForce 2: Gold Edition,2009-10-29,14.99,32,162009,12:00
The Banner Saga,2014-01-14,19.99,78,655926,09:44
Dungeon Siege 2,2005-08-16,6.99,54,359085,11:20
Overlord II,2009-06-24,9.99,69,962761,10:26
Dungeon of the Endless,2014-10-27,11.99,78,529334,11:40
Else Heart.Break(),2015-09-24,24.99,34,97661,03:33
Gothic II: Gold Edition,0000-00-00,9.99,56,343831,09:54
PAYDAY 2,2013-08-13,19.99,47,6732311,52:39
State of Decay,2013-11-05,Free,66,991165,17:55
Ragnarok,2013-10-31,Free,49,445700,21:28
Sang-Froid - Tales of Werewolves,2013-04-05,14.99,69,244416,03:12
Dungeons of Dredmor,2011-07-13,4.99,93,558440,17:16
Half Minute Hero: The Second Coming,2014-04-04,9.99,93,74517,06:17
The Incredible Adventures of Van Helsing: Final Cut,2015-11-06,44.99,34,123260,17:51
Depths of Peril,2010-11-23,9.99,41,49094,06:10
King's Bounty: The Legend,2009-05-01,6.99,88,385034,21:14
LISA,2014-12-15,9.99,93,183750,07:27
DeathSpank: Thongs Of Virtue,2010-11-30,14.99,66,95557,09:56
Joe Dever's Lone Wolf HD Remastered,2014-11-27,14.99,47,35067,10:37
Mount & Blade: Warband,2010-03-31,19.99,96,2302315,107:56
Baldur's Gate II: Enhanced Edition,2013-11-15,19.99,52,379423,33:20
Dungelot : Shattered Lands,2016-02-18,9.99,61,19287,06:11
Cthulhu Saves the World ,2011-07-13,2.99,84,634009,03:12
Apotheon,2015-02-03,14.99,78,152891,03:58
Summoner,2014-03-12,4.99,52,106428,09:24
Fallen Enchantress,2012-10-23,39.99,23,109058,22:35
Hand Of Fate,2015-02-17,24.99,84,293685,06:27
The Count Lucanor,2016-03-03,9.99,93,5611,02:49
King's Bounty: Crossworlds,2010-09-17,14.99,88,284568,23:44
Etherlords II,2014-02-13,4.99,54,81530,05:18
Crashlands,2016-01-21,14.99,78,44360,14:00
Avernum 2: Crystal Souls,2015-01-14,19.99,56,78374,16:45
Baldur's Gate: Enhanced Edition,2013-01-16,19.99,59,557212,26:39
Echoes Of Aetheria,2016-01-15,14.99,99,5085,11:12
Anachronox,2013-10-17,6.99,38,224253,03:05
The Incredible Adventures of Van Helsing II,2014-06-13,14.99,26,372585,08:02
TERA,2015-05-05,Free,56,3515277,26:34
Titan Quest,2007-06-26,Free,64,1566963,05:31
NEO Scavenger,2014-12-15,14.99,84,136235,15:43
Risen,2009-10-02,9.99,66,833539,13:01
Might & Magic: Heroes VI,2011-10-13,19.99,10,620508,49:07
Arx Fatalis,2007-04-03,4.99,75,110636,04:19
Lords of the Realm II,2015-12-03,2.99,96,31736,16:18
Risk of Rain,2013-11-08,9.99,90,1332365,15:37
DeathSpank,2010-10-25,14.99,90,126416,06:54
Eldritch,2013-10-21,14.99,72,212154,02:39
Deathtrap,2015-02-04,19.99,59,104324,13:17
