ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Jagged Alliance: Crossfire,2012-08-24,14.99,19,113617,18:05
Grand Ages: Medieval,2015-09-25,29.99,7,58737,21:19
Theatre of War 2: Africa 1943,2010-07-09,8.99,25,95557,03:55
The Guild II - Pirates of the European Seas,2010-06-24,9.99,30,293685,05:08
Storm,2013-06-27,9.99,36,19462,02:34
Life is Feudal: Your Own,2015-11-17,39.99,28,375566,60:43
Redshirt,2013-11-13,9.99,6,54354,04:44
Silent Hunter 5: Battle of the Atlantic,2010-03-01,9.99,8,77498,27:40
Jagged Alliance - Back in Action,2012-02-08,19.99,26,263177,43:33
Bientt l't,2013-02-06,9.99,7,27703,00:41
Wings Over Europe,2014-05-30,9.99,15,4909,02:50
Goat Simulator,2014-04-01,9.99,72,2425925,06:33
Buzz Aldrin's Space Program Manager,2014-10-31,29.99,49,14027,13:38
Rig 'n' Roll,2010-07-09,9.99,9,69432,11:42
Into the Stars,2016-03-04,19.99,13,15780,02:09
Wings! Remastered Edition,2014-10-17,14.99,49,30859,04:04
Bus Driver,2014-06-03,9.99,28,265281,01:05
Dream Pinball 3D,2012-09-19,6.99,2,113967,00:56
The Guild II,2010-06-24,9.99,26,483221,04:56
IL-2 Sturmovik: Cliffs of Dover,2011-07-19,9.99,28,208122,19:17
Rigonauts,2012-08-07,9.99,N/A,21040,01:56
Off-Road Drive,2011-09-29,6.99,22,62419,04:06
I am Bread,2015-04-09,12.99,47,459727,02:50
Pacific Storm: Allies,2008-08-18,1.59,17,58036,17:04
Orbital Gear,2014-08-07,0.99,64,254585,02:34
No Pineapple Left Behind,2016-02-18,9.99,N/A,8416,01:17
Zoo Empire,2015-09-03,6.99,N/A,7890,01:10
VoidExpanse,2015-04-02,14.99,32,32086,09:47
Time Machine VR,2016-05-19,29.99,28,7539,01:21
Urban Trial Freestyle,2013-09-18,6.99,52,166392,02:37
Hotel Giant 2,2010-01-27,7.99,6,38398,04:43
Marine Park Empire,2015-09-03,6.99,N/A,9468,05:51
SOL: Exodus,2012-01-25,7.99,10,64698,02:21
Nether,2014-06-05,4.99,9,664166,11:17
Airline Tycoon 2,2011-10-24,9.99,0,108181,05:21
Vector Thrust,2015-07-02,24.99,19,30859,06:51
The Guild II: Renaissance,2010-07-28,9.99,54,353299,18:36
Fair Strike,2015-04-23,3.99,N/A,5611,03:08
OmniBus,2016-05-26,9.99,75,4033,05:03
Iron Front : Liberation 1944,2012-05-25,14.99,24,75744,13:42
M.U.D. TV,2010-04-19,9.99,7,46464,04:40
Planar Conquest,2016-05-30,24.99,38,16131,20:26
Lords of Football,2013-04-05,14.99,9,41905,05:16
Miner Wars 2081,2012-11-28,9.99,4,87316,02:42
Hospital Tycoon,2009-02-13,4.99,5,203738,03:28
Railroad Pioneer,2014-07-01,4.99,18,17007,07:10
