ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Brothers in Arms: Road to Hill 30,2008-05-13,9.99,72,90472,04:28
TowerFall Ascension,2014-03-11,14.99,84,218817,06:29
Company of Heroes: Opposing Fronts,2007-09-24,19.99,88,2227797,14:09
Half-Life 2: Episode One,2006-06-01,7.99,90,6015895,05:08
The Swapper,2013-05-30,14.99,98,678719,03:22
Call of Duty: United Offensive,2006-10-13,19.99,66,167795,09:24
DOOM 3,2007-08-03,4.99,75,394853,05:29
Commandos 2: Men of Courage,2007-03-15,3.99,64,505664,03:20
Battlefield: Bad Company 2,2010-03-02,19.99,72,1723185,55:55
Crypt of the NecroDancer,2015-04-23,14.99,98,539854,11:12
Oddworld: New 'n' Tasty,2015-02-25,19.99,78,173406,06:16
Thief 2,2012-05-22,6.99,93,448856,03:57
Serious Sam Classic: The First Encounter,2010-03-22,99.99,96,659958,02:15
Dead Space 2,2011-01-25,19.99,90,1207177,09:53
Hitman 2: Silent Assassin,2007-03-15,6.99,72,1224359,03:05
Psychonauts,2006-10-11,9.99,93,1359542,06:54
Bionic Commando Rearmed,2009-07-28,9.99,25,405548,01:40
Astebreed,2014-05-30,14.99,78,119929,01:59
Bastion,2011-08-16,14.99,98,2210790,06:03
Saints Row IV,2013-08-19,14.99,84,2844799,21:04
Assassin's Creed II,2010-03-09,19.99,56,1122665,23:58
Max Payne 2: The Fall of Max Payne,2008-01-04,9.99,84,509872,04:58
Dead Space,2009-01-09,19.99,75,2127506,06:26
Rise of the Tomb Raider,2016-01-28,59.99,81,916122,21:18
Call of Duty 2,2006-10-13,19.99,78,284743,14:37
Black Mesa,2015-05-05,19.99,88,282464,10:09
Call of Duty: Modern Warfare 2 - Multiplayer,2009-11-11,19.99,81,4918653,147:51
Path of Exile,2013-10-23,Free,88,5376451,49:39
Tribes: Ascend,2012-06-27,Free,54,1710211,08:16
Mushihimesama,2015-11-12,19.99,96,26651,05:17
Rayman Origins,2012-03-29,19.99,90,198478,10:17
Tomb Raider,2013-03-04,19.99,93,4124739,15:28
Total War: WARHAMMER,2016-05-24,59.99,31,845813,59:14
Rocket League,2015-07-07,14.99,88,3929943,59:06
Resident Evil 5,2009-09-15,19.99,59,769367,14:38
Call of Duty: Modern Warfare 2,2009-11-11,19.99,81,4918653,23:21
Tom Clancy's Rainbow Six 3: Gold Edition,2008-09-25,9.99,88,128695,09:30
Hotline Miami,2012-10-23,9.99,98,1942704,05:38
Prince of Persia: The Two Thrones,2008-11-21,9.99,47,196900,04:06
Tom Clancy's Rainbow Six: Vegas,2008-04-09,9.99,41,246345,02:29
Dark Souls: Prepare to Die Edition,2012-08-23,19.99,75,2630716,43:09
Quadrilateral Cowboy,2016-07-25,19.99,81,12624,03:38
Zenzizenzic,2015-07-23,9.99,90,4559,01:10
Shovel Knight,2014-06-26,14.99,96,366098,09:04
DmC Devil May Cry,2013-01-24,29.99,90,816356,09:55
Crimzon Clover  WORLD IGNITION,2014-06-06,9.99,98,108883,03:16
Thief: Deadly Shadows,2007-03-29,8.99,72,620683,05:03
Mega Man Legacy Collection,2015-08-24,14.99,41,60666,03:43
Serious Sam Classic: The Second Encounter,2010-09-22,99.99,98,659958,03:01
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2013-02-26,14.99,84,464811,04:17
Mighty Switch Force! Hyper Drive Edition,2015-06-25,9.99,93,11046,02:23
Far Cry 2,2008-10-22,9.99,43,1212437,10:10
BattleBlock Theater,2014-05-15,14.99,98,2036858,07:40
Roche Fusion,2015-01-23,12,99,3507,38:40
DOOM,2016-05-12,59.99,78,1023251,16:22
Rogue Legacy,2013-06-27,14.99,90,1209456,14:56
Trials Evolution Gold Edition,2013-03-21,19.99,47,248799,16:44
Amnesia: The Dark Descent,2010-09-08,19.99,93,3115164,04:17
The Talos Principle,2014-12-11,9.99,96,646984,13:11
System Shock: Enhanced Edition,2015-10-22,9.99,84,48743,03:12
Crysis Wars,2008-09-17,19.99,64,792511,01:32
GUILTY GEAR Xrd -SIGN-,2015-12-09,29.99,90,79777,22:26
Hyper Light Drifter,2016-03-31,19.99,88,184627,07:54
Saints Row: The Third,2011-11-14,14.99,96,3736549,25:56
Tron 2.0,2014-10-10,9.99,64,30333,03:14
Crysis Warhead,2008-09-17,19.99,64,792511,04:49
SOMA,2015-09-21,29.99,93,245468,08:33
The Binding of Isaac,2011-09-28,4.99,96,2855319,30:15
Trine 2,2013-06-06,19.99,96,2511664,06:10
Just Cause 2,2010-03-23,14.99,84,3975530,16:49
Fallout: New Vegas,2010-10-19,9.99,93,4384760,58:44
Shatter,2010-03-15,9.99,90,397132,02:03
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,2013-09-26,4.99,64,122559,02:15
Downwell,2015-10-15,2.99,98,169548,03:15
PlanetSide 2,2012-11-20,Free,61,6331146,28:24
Enter the Gungeon,2016-04-05,14.99,75,415192,17:20
Salt and Sanctuary,2016-05-17,17.99,84,99590,12:32
Brothers in Arms: Earned in Blood,2008-10-10,9.99,69,83634,04:30
ABZU,2016-08-02,19.99,88,75569,02:35
Ikaruga,2014-02-18,9.99,96,89771,02:06
SpeedRunners,2016-04-19,14.99,90,1203845,10:06
Counter-Strike: Global Offensive,2012-08-21,14.99,84,23360138,269:05
Grim Dawn,2016-02-25,24.99,88,560193,53:10
Outland,2014-09-29,9.99,56,254235,03:05
DOOM II: Hell on Earth,2007-08-03,4.99,81,422205,01:59
Skullgirls,2013-08-22,9.99,90,766737,09:34
