ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
DAMAGE CONTROL,2016-04-05,4.99,N/A,11221,05:16
Space Pirate Trainer VR,2016-04-05,14.99,96,74342,02:59
Planetoid Pioneers,2016-04-15,39.99,N/A,526,00:34
Cat Simulator,2016-02-12,4.99,N/A,1929,00:14
Sniper Tactical,2016-01-08,4.99,N/A,877,01:37
Marooners,2016-03-24,12.99,78,1753,01:03
Megatect,2015-11-04,7.99,N/A,2104,01:11
Kingdoms,2015-10-23,9.99,18,16832,03:22
Novus Inceptio,2015-10-05,19.99,43,7013,04:14
Shallow Space,2015-10-21,14.99,N/A,10345,00:55
Empyrion - Galactic Survival,2015-08-05,19.99,61,227058,40:25
Abducted,2015-07-28,5.99,N/A,19111,00:26
Cash_Out,2015-05-27,4.99,N/A,2455,03:48
Battle Brothers,2015-04-27,19.99,88,31560,35:15
MyDream,2015-02-20,14.99,72,1403,00:19
Amazing Frog,2014-11-21,15.99,72,28579,17:09
The Repopulation,2014-12-22,Free,26,36294,16:57
Virus 14,2015-01-29,6.99,N/A,11046,00:12
Purgatory: War of the Damned,2015-02-11,14.99,N/A,9117,00:30
Signs of Life,2014-01-27,9.99,61,41379,08:09
Dungeon Defenders II,2014-12-05,Free,45,2174846,12:25
NIGHTSTAR,2016-08-18,14.99,N/A,1027,00:02
TribeQuest: Red Killer,2016-05-18,0.99,N/A,3507,00:00
Supraball (closed testing),2016-05-02,9.99,49,133079,08:01
Hide & Hold Out - H2o,2016-04-09,17.99,30,10695,17:30
Tabletopia,2016-03-28,9.99,36,4909,06:10
Starpoint Gemini Warlords,2016-04-14,24.99,59,15780,04:50
Fragmental,2016-02-29,14.99,N/A,514,00:00
Cyber Team Manager,2016-01-18,0.79,18,5961,02:46
Blessed Ones: The Magic Wolves,2015-12-04,7.99,N/A,533,00:00
Magnetron,2015-11-16,5.99,N/A,2630,00:00
SinaRun,2015-10-26,2.99,52,7539,02:04
EPSILON,2015-10-01,7.99,38,12799,05:25
Paint the Town Red,2015-10-13,9.99,88,108006,09:01
Indie Assault,2015-07-07,9.99,N/A,8065,00:15
Football Tactics,2015-06-01,14.99,84,8767,17:16
Break_In,2015-04-29,9.99,N/A,1066,01:30
Vol'Talkes - The AI War,2015-02-25,29.99,N/A,799,01:45
Mission Control: NanoMech,2014-12-17,8.99,N/A,12975,02:03
Cubic,2016-04-05,19.99,30,2805,05:14
Black Ice,2014-07-09,14.99,98,6312,05:29
Paragon,2014-05-12,14.99,22,1929,01:43
From The Depths,2014-08-07,19.99,75,165340,50:11
The Dead Linger,2013-09-27,Free,5,55055,03:25
Metris Soccer,2016-09-02,10.99,N/A,514,00:19
Redemption,2016-08-11,14.99,N/A,799,80:14
"Bye-Bye, Wacky Planet",2016-07-15,4.99,84,4033,03:48
VR Ping Pong,2016-07-07,4.99,78,2455,00:24
Destinations,2016-06-09,Free,93,61367,00:37
The Spatials: Galactology,2016-07-07,12.99,N/A,24547,02:09
Super Arcade Football,2016-04-04,9.99,66,877,01:02
Zombie Gotchi,2016-03-23,9.99,N/A,533,03:48
Flobe,2016-02-22,0.99,N/A,7715,04:26
Kitten Rampage,2016-02-03,9.99,26,2104,01:34
Silver Knight,2016-01-15,1.99,N/A,9117,05:52
Block'hood,2016-03-09,9.99,56,24021,03:06
The Extinction,2015-11-02,2.99,N/A,16131,00:10
Stacks TNT,2015-11-02,4.99,N/A,9293,00:07
WARMODE,2015-08-25,Free,22,1532071,02:09
Gunjitsu,2015-07-31,3.99,54,11397,05:39
Geocore,2015-07-31,9.99,N/A,799,00:03
Polyball,2015-06-04,14.99,59,11572,03:25
ARK: Survival Evolved,2015-06-02,29.99,31,3628894,108:54
Killing Floor 2,2015-04-21,29.99,52,904900,31:56
Armed with Wings: Rearmed,2015-05-28,7.99,98,18059,02:05
Retro-Pixel Castles,2014-10-27,9.99,66,39100,04:56
Aware,2015-03-18,12.99,N/A,877,01:12
Collateral,2014-11-24,24.99,N/A,3682,00:11
Darkwood,2014-07-24,14.99,88,39626,06:54
World of Diving,2014-08-26,19.99,28,20865,02:33
AirMech,2012-11-08,Free,78,1178597,09:37
Legends of Azulgar,2016-08-18,Free,N/A,5260,00:06
Switch 'N' Shoot,2016-08-09,1.99,N/A,514,00:00
SurvHive,2016-08-01,14.99,N/A,1027,04:56
Smash Pixel Racing,2016-06-20,2.99,N/A,514,00:07
Head Shot,2016-06-03,1.99,18,10345,06:54
Base Squad 49,2016-05-03,Free,17,39976,04:27
Dead Acres,2015-11-24,4.99,78,2981,02:24
Rogue Harvest,2015-11-05,4.99,N/A,8591,02:03
Terminal Hacker - Into the Deep,2015-10-30,1.99,N/A,1227,01:42
Nuclear Shot,2015-09-07,0.99,5,56808,00:21
M4 Tank Brigade,2015-08-17,14.99,N/A,877,02:11
Pixel Fodder,2015-07-20,2.99,N/A,1753,04:07
Nomad,2015-06-26,Free,25,143949,03:31
House of the Dying Sun,2016-06-07,19.99,78,17533,02:21
Out of Reach,2015-06-08,14.99,31,49444,13:17
Damnation City of Death,2015-03-03,9.99,2,9994,00:06
Tail Drift,2014-10-29,9.99,N/A,5611,00:17
Warside,2015-05-05,Free,25,153067,01:21
Call to Arms,2015-07-30,24.99,34,78725,12:39
FaeVerse Alchemy,2014-04-02,Free,30,89420,07:04
Race To Mars,2014-03-07,19.99,1,7364,03:24
Next Car Game: Wreckfest,2014-01-14,39.99,36,290880,05:51
Hold the door!,2016-09-02,Free,N/A,3156,00:04
Cogs and Cowboys,2016-08-10,5.99,N/A,533,00:14
BellyBots,2016-07-26,7.99,N/A,799,00:10
The Rebel,2016-07-15,4.99,N/A,3507,01:02
Table Tennis VR,2016-07-06,4.99,N/A,514,00:14
Blasters of the Universe,2016-07-14,14.99,N/A,4383,00:17
Gloria Victis,2016-06-09,19.99,31,36294,25:14
BloodGate,2016-06-02,8.99,69,8767,05:38
XCavalypse,2016-06-06,5.99,N/A,1753,00:11
Veer,2016-04-13,2.99,N/A,7013,00:31
Cycle Of Tyrfing,2016-04-15,7.99,N/A,877,00:14
Raw Data,2016-07-14,39.99,75,34541,02:58
Frontier,2016-03-04,12.99,N/A,5961,02:18
ASTROKILL,2016-05-27,9.99,N/A,8241,00:06
Maximum Override,2016-01-25,6.99,47,10345,02:46
Force of Elements,2015-12-29,Free,47,17709,05:30
Doom & Destiny Advanced,2015-06-03,9.99,93,3682,10:23
One Last Day,2015-04-28,12.99,41,2630,06:18
