ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Worlds of Magic,2015-03-19,15.99,10,12975,21:48
Woolfe - The Red Hood Diaries,2015-03-17,9.99,19,64874,02:14
RaceCraft,2016-03-04,19.99,43,26475,00:36
Rise of Incarnates,2015-06-30,Free,19,1745628,00:59
Breach & Clear: Deadline,2015-07-20,19.99,18,46639,04:15
Secret Ponchos,2015-10-13,14.99,39,46814,04:34
The Deer God,2015-02-27,14.99,28,46814,04:04
Better Late Than Dead,2016-03-03,14.99,6,28404,01:56
WARSHIFT,2015-08-14,19.99,61,12449,01:38
A.I. Space Corps,2016-02-05,4.99,N/A,9994,00:05
Operation Caucasus,2016-03-16,Free,N/A,10169,00:38
Garage Drummer VR,2016-06-21,5.99,N/A,877,00:14
Fasaria World Online,2015-02-22,9.99,N/A,8767,03:24
Quantum Lock,2016-01-07,5.99,N/A,701,00:12
Abrix for kids,2016-08-12,4.99,N/A,3682,05:21
Jurassic Island: The Dinosaur Zoo,2015-11-23,3.99,N/A,1929,00:27
C.R.E.E.P.S,2016-03-16,11.99,N/A,7189,00:05
Heresy,2015-11-19,19.99,N/A,514,00:07
Champions of Breakfast,2016-06-23,4.99,N/A,533,00:14
The Fleets of Sol,2016-04-01,8.99,N/A,1753,03:50
Crazy Pixel Streaker,2016-06-07,9.99,N/A,877,02:58
Dungeons Of Kragmor,2016-04-29,0.99,5,22267,01:01
Fantasy Tales Online,2016-05-05,Free,47,103623,01:23
The Land Of Lamia,2015-11-23,4.99,N/A,20514,03:06
XNemesis SandBox,2016-06-07,4.99,N/A,2805,05:12
Game Tycoon 2,2016-04-08,14.99,22,4033,05:47
Door To Door,2016-08-02,3.49,N/A,7364,03:24
VReakout,2016-07-13,7.99,N/A,533,00:48
Planet R-12,2016-05-05,4.99,N/A,9468,04:31
Chicku,2016-05-05,7.99,N/A,1227,03:02
Super Trench Attack 2,2015-11-06,6.99,N/A,11397,03:28
Parallels,2015-11-13,4.99,N/A,1753,01:39
Verdict Guilty - ìœ ì£„ í‰ê²°,2016-06-13,1.01,66,5435,00:59
VR: Vacate the Room,2016-07-15,4.24,90,5786,01:07
Tick: The Time Based Puzzle Game,2015-08-20,2.99,N/A,1227,00:02
DARTHY,2016-02-16,0.99,N/A,1403,02:16
GiAnt,2016-08-02,5.99,N/A,3156,00:55
Blamdown Udder Fury,2016-08-30,4.99,N/A,533,02:31
Close Order,2016-01-21,4.99,11,6312,03:41
Rot Gut,2016-07-12,1.99,69,7189,00:21
