ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Bowl VR,2016-06-24,6.99,N/A,514,00:16
Adorables,2016-03-30,2.99,41,97311,07:30
Jerry Rice & Nitus' Dog Football,2016-02-11,19.99,N/A,1929,03:04
Shakedown Racing,2015-11-12,6.99,N/A,11046,03:04
Pure Hold'em,2015-08-20,19.99,8,2981,06:14
Monster Jam,2015-06-10,14.99,8,12799,04:18
Total Extreme Wrestling,2015-03-19,19.99,49,8767,16:53
Total Pro Golf 3,2014-07-25,19.99,N/A,13150,03:33
Shred! Downhill Mountain Biking,2015-07-08,5.99,15,7890,01:48
Eastside Hockey Manager: Early Access,2015-12-01,19.99,66,136585,71:02
Moto Racer Collection,2014-10-02,9.99,N/A,15780,00:04
Dog Sled Saga,2014-12-08,7.99,88,5260,15:55
theHunter,2014-06-03,Free,5,3829651,05:50
RaceRoom Racing Experience ,2013-02-12,Free,14,2839013,04:41
Space Ribbon,2016-08-05,14.99,N/A,514,00:02
Cricket Captain 2016,2016-07-04,24.99,N/A,4383,37:01
MTB Downhill Simulator,2016-05-27,7.99,11,2805,00:16
Virtual Pool 4 Multiplayer,2016-06-13,Free,N/A,14377,00:58
Cloudlands : VR Minigolf,2016-04-05,19.99,52,15254,03:39
Foosball: World Tour,2015-12-11,8.99,N/A,9994,01:42
Winter Sports Trilogy Super Pack,2015-09-10,6.99,N/A,7890,14:46
Zombie Bowl-O-Rama,2009-10-15,9.99,61,44009,03:05
DUO,2016-07-07,14.99,N/A,1027,00:01
90 Minute Fever,2016-07-12,5.99,49,533,98:16
Drone Racing,2016-05-23,9.99,N/A,1403,00:46
Holodance,2016-04-05,9.99,N/A,1403,01:13
Crazy Pixel Streaker,2016-06-07,9.99,N/A,877,02:58
Soccer Manager 2016,2015-10-07,Free,32,302276,04:57
