ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Metal Reaper Online,2015-09-17,Free,30,185328,03:10
Time Clickers,2015-07-23,Free,75,766036,37:14
Batla,2015-05-14,Free,16,592630,02:51
Heroine's Quest: The Herald of Ragnarok,2014-03-20,Free,69,253884,03:19
Magic Barrage - Bitferno,2015-01-01,Free,4,280710,03:14
Unturned,2014-07-07,Free,84,24423365,17:06
Xam,2014-07-15,Free,N/A,335414,00:30
GunZ 2: The Second Duel,2014-05-01,Free,28,3010139,07:41
Gotham City Impostors: Free To Play,2012-08-30,Free,64,2414528,04:56
The Journey Home,2016-08-22,Free,N/A,7539,00:06
Destiny of Ancient Kingdoms,2016-08-29,Free,23,15955,03:54
Bitardia Cards: Memes of 2ch,2016-05-19,Free,30,27177,00:14
Ember Strike,2016-05-26,Free,52,73816,01:45
Age of Magic CCG,2016-03-20,Free,17,40678,09:06
Cloney,2016-01-19,Free,13,81355,01:16
MoW: Face Off XL,2015-11-18,Free,39,43658,02:54
The Secret of Tremendous Corporation,2015-10-12,Free,59,78374,00:26
All Is Dust,2015-06-26,Free,7,312095,00:23
Red Stone Online,2015-04-01,Free,15,92051,02:16
Spartans Vs Zombies Defense,2015-01-06,Free,8,148333,01:13
The Expendabros,2014-08-05,Free,98,2530424,02:23
Requiem,2015-03-04,Free,18,220395,04:30
Sins of a Dark Age,2015-05-08,Free,26,341551,02:33
Minds Eyes,2016-08-31,Free,N/A,49269,00:50
Regeria Hope Episode 1,2016-07-25,Free,N/A,29456,00:51
Allods Online My.com,2016-06-03,Free,19,70309,06:28
One Thousand Lies,2016-04-24,Free,84,66627,01:26
The Divergent Series: Allegiant VR,2016-03-17,Free,26,50321,00:37
CABAL Online,2016-02-17,Free,18,169373,12:58
Battle Battalions,2015-11-03,Free,15,144300,01:36
Nomad,2015-06-26,Free,25,143949,03:31
Escape,2015-04-20,Free,16,128520,00:20
Without Within,2015-01-22,Free,75,191465,00:14
Cubic Castles,2014-08-13,Free,34,850196,05:45
Darkwind: War on Wheels,2014-08-22,Free,6,201284,02:06
Dwarfs F2P,2012-10-18,Free,64,515483,02:17
A.V.A - Alliance of Valiant Arms,2011-06-14,Free,14,1219625,15:24
Atulos Online,2016-04-30,Free,31,42957,02:08
Mathoria: It All Adds Up,2016-03-30,Free,15,27878,02:01
Governor of poker 3,2016-02-19,Free,34,285620,04:53
Gunslingers,2015-12-17,Free,14,79777,11:34
Soccer Manager 2015,2015-07-16,Free,32,313322,04:13
Stargunner,2014-05-05,Free,N/A,62594,00:19
America's Army: Proving Grounds Beta,2013-08-01,Free,43,1956555,20:04
Gems of War,2014-11-20,Free,34,254059,47:27
Robocraft,2014-07-08,Free,39,10425201,18:17
Lost Saga North America,2014-11-25,Free,17,250903,11:45
Age of Conan: Unchained - US version,2013-02-22,Free,36,180945,18:14
Heroes of Shadow Guard,2016-08-03,Free,N/A,11046,00:42
Clover Tale,2016-06-15,Free,38,38749,10:41
Magic Duels,2015-07-29,Free,31,1804014,21:37
Run and Fire,2015-05-27,Free,11,570538,00:53
FreeStyle2: Street Basketball,2015-04-01,Free,39,3706041,13:16
HIT,2015-02-09,Free,3,246871,00:12
Velvet Sundown,2014-07-22,Free,20,599819,01:09
Happy Wars,2014-07-23,Free,45,1689171,03:47
Moon Breakers,2012-05-17,Free,18,309114,01:48
Clean'Em Up,2016-08-18,Free,N/A,7890,00:49
Red Trigger,2016-07-08,Free,75,182874,00:44
Khimera: Destroy All Monster Girls,2016-05-08,Free,90,33664,01:04
PITCH-HIT : RAMPAGE LEVEL,2016-04-05,Free,N/A,57334,00:15
Atom Universe,2016-03-04,Free,10,71186,00:18
Iron Snout,2016-01-27,Free,99,716591,01:32
GASP,2016-01-19,Free,0,162710,00:22
SC2VN - The eSports Visual Novel,2015-09-22,Free,88,108532,01:41
Infinity Wars - Animated Trading Card Game,2014-09-05,Free,56,572992,14:32
Atlantica,2012-06-29,Free,36,257566,82:37
Rail Adventures - VR Tech Demo,2016-08-25,Free,N/A,7890,00:04
NVIDIA® VR Funhouse,2016-07-14,Free,52,109759,00:50
Blind Trust,2016-05-27,Free,14,168496,00:14
SurrealVR,2016-04-15,Free,N/A,44184,00:40
Emporea,2016-06-08,Free,19,129221,06:39
Time of Dragons,2016-02-01,Free,32,474630,01:04
Sphere III: Enchanted World,2015-12-02,Free,8,114318,01:46
Lineage II,2015-11-12,Free,11,83108,23:50
Shadow of Kingdoms,2015-08-11,Free,2,69608,00:39
Echo of Soul,2015-06-22,Free,19,498125,10:38
Strife,2015-05-22,Free,45,1315007,06:59
HIS (Heroes In the Sky),2015-03-03,Free,6,214083,04:54
Dizzel,2014-12-10,Free,13,1259777,01:56
Amazing World,2014-08-07,Free,43,550900,02:31
Moirai,2016-07-22,Free,96,276502,00:19
RuneScape: Idle Adventures,2016-09-01,Free,28,82056,14:08
Ghoul Kid,2016-04-26,Free,25,49094,00:09
Lost girl`s [diary],2016-03-24,Free,59,71010,00:43
Soccer Manager,2016-02-09,Free,19,142547,05:27
Metaverse Construction Kit,2015-12-06,Free,28,115721,00:27
Let the Cat In,2015-08-27,Free,54,165340,00:32
Anno Online,2015-07-01,Free,11,344883,09:57
Alganon,2015-05-19,Free,4,85914,04:55
Walkover,2015-03-23,Free,22,75569,01:36
Rising Angels: Reborn,2014-09-12,Free,49,164288,01:54
Fistful of Frags,2014-05-09,Free,84,2642112,04:50
Dungeon Defenders II,2014-12-05,Free,45,2174846,12:25
ROSE Online,2012-10-23,Free,31,413088,11:14
MicroVolts Surge,2012-07-05,Free,34,746573,07:12
Galaxy Control: 3D Strategy,2016-08-10,Free,6,81706,04:07
ChuSingura46+1 S,2016-06-21,Free,75,173581,01:35
Atlas Reactor,2016-05-12,Free,49,54354,13:33
The Lab,2016-04-05,Free,100,280535,03:37
Steno Arcade,2016-03-30,Free,41,45587,00:05
Sepia Tears,2016-01-08,Free,75,97486,00:52
Piercing Blow,2015-11-10,Free,7,440966,08:15
Frozen Free Fall: Snowball Fight,2015-09-15,Free,15,180594,05:04
Karos Returns,2015-07-30,Free,38,124838,08:49
Clicker Heroes,2015-05-13,Free,78,4117550,89:26
Tom Clancy's Ghost Recon Phantoms - EU,2015-04-10,Free,N/A,3807735,25:14
School of Dragons: How to Train Your Dragon,2014-12-04,Free,10,1058493,03:44
Grand Chase,2015-07-17,Free,43,566856,06:58
Aura Kingdom,2014-07-01,Free,52,2041417,15:42
Haunted Memories,2013-10-04,Free,22,788654,00:46
Jagged Alliance Online - Steam Edition,2013-06-05,Free,12,129046,11:18
EverQuest Free-to-Play,2012-12-13,Free,32,393976,40:57
The Pirate: Caribbean Hunt,2016-08-24,Free,47,153242,02:53
Zezenia Online,2016-07-07,Free,32,41204,02:43
The Abbey of Crime Extensum,2016-05-19,Free,61,38048,00:33
Lucid9,2016-04-14,Free,88,70660,03:04
Origin Of Destiny,2016-04-01,Free,38,36119,01:38
Sven Co-op,2016-01-22,Free,72,1218047,03:31
Soccer Manager 2016,2015-10-07,Free,32,302276,04:57
Dream Of Mirror Online,2015-08-14,Free,10,166918,12:30
Shot In The Dark,2015-06-10,Free,9,62945,04:15
Navy Field 2 : Conqueror of the Ocean,2015-03-05,Free,9,514431,04:09
Wild Warfare,2014-07-15,Free,34,254059,00:42
ACE - Arena: Cyber Evolution,2014-08-18,Free,31,450258,00:51
Battle Nations,2014-09-18,Free,24,320336,11:55
RaceRoom Racing Experience ,2013-02-12,Free,14,2839013,04:41
Empires,2008-07-28,Free,69,83108,10:12
Shonen Idle Z,2016-07-22,Free,17,74517,17:54
UFO Online: Invasion,2016-06-08,Free,12,127994,03:01
Bloons TD Battles,2016-04-20,Free,52,578428,05:43
PWI,2016-04-19,Free,8,72238,20:07
Immortal Empire,2015-12-03,Free,34,88894,02:04
Uebergame,2015-10-26,Free,7,115370,00:08
Teeworlds,2015-08-24,Free,78,578077,02:07
Eternal Senia,2015-06-18,Free,98,424134,02:09
Deepworld,2015-04-22,Free,18,191465,02:25
Universal Combat CE,2015-02-06,9.99,5,102746,00:58
Color Symphony,2014-09-15,Free,39,324368,00:26
Royal Quest,2014-08-06,Free,26,708175,11:40
World of Guns: Gun Disassembly,2014-05-21,Free,56,1962517,03:34
Ascend: Hand of Kul,2014-05-20,Free,30,569135,04:38
Puzzle Pirates,2011-08-31,Free,52,352597,16:20
Star Crusade CCG,2016-09-07,Free,41,97837,09:47
Comedy Quest,2015-09-02,Free,52,67854,00:39
Aberoth,2015-07-17,Free,16,154294,08:38
METAL SLUG DEFENSE,2015-05-01,Free,9,422556,01:42
Reckless Ruckus,2015-03-20,Free,2,55406,01:36
Battlegrounds of Eldhelm,2014-10-22,Free,32,108707,02:45
Fiesta Online NA,2014-05-20,Free,14,346636,14:17
City of Steam: Arkadia,2014-03-06,Free,19,300348,07:48
Ragnarok Clicker,2016-08-03,Free,25,86089,29:23
Radiator 2,2016-06-16,Free,N/A,126241,00:17
Prominence Poker,2016-05-18,Free,38,149911,03:18
Orcs Must Die! Unchained,2016-03-29,Free,26,1105833,05:31
Medusa's Labyrinth,2016-02-15,Free,59,210226,00:26
BattleSpace,2015-01-07,Free,3,113091,00:37
Counter-Strike Nexon: Zombies,2014-10-07,Free,24,6302566,13:23
SNOW,2013-10-10,Free,38,958728,04:12
Champions of Regnum,2013-02-27,Free,18,399412,08:59
Archeblade,2014-04-25,Free,43,1876603,04:47
Dragon Nest,2012-12-18,Free,59,540906,28:13
Pirates: Treasure Hunters,2016-07-05,Free,25,73465,02:09
Worm.is: The Game,2016-05-04,Free,45,967845,03:05
IKEA VR Experience,2016-04-04,Free,52,121857,00:14
Rock Paper Scissors Champion,2016-03-02,Free,8,59614,00:08
Codename: Rogue Fleet,2016-01-15,Free,15,79251,00:23
Genesis Online,2015-11-10,Free,3,223376,00:55
Nyctophilia,2015-09-23,Free,23,90472,00:46
Sakura Clicker,2015-07-29,Free,61,1080410,10:44
Games of Glory,2015-05-26,Free,17,172529,00:42
Voices from the Sea,2015-03-24,Free,88,146579,01:28
Combat Monsters,2015-01-20,Free,34,118526,02:24
Big Bang Empire,2016-08-23,Free,N/A,32086,04:49
Strike.is: The Game,2016-07-14,Free,32,318758,00:49
Age of Cavemen,2016-05-24,Free,14,139741,02:00
Fantasy Tales Online,2016-05-05,Free,47,103623,01:23
Lost Lands: Mahjong,2016-03-14,Free,88,63646,10:11
Tom Clancy's EndWar Online,2016-01-25,Free,4,250553,02:07
Ghost in the Shell: Stand Alone Complex - First Assault Online,2016-07-28,Free,31,913141,05:19
Aion,2015-10-29,Free,38,187608,17:29
The Settlers Online,2015-08-19,Free,4,301926,22:15
The Knobbly Crook: Chapter I - The Horse You Sailed In On,2015-06-09,Free,78,71361,00:45
Epic Arena,2015-05-05,Free,31,142371,01:20
InCell VR,2015-09-03,Free,32,70660,00:34
The Forgotten Ones,2014-07-17,Free,16,515307,01:15
Brawlhalla,2014-04-30,Free,75,3915741,10:07
Max Gentlemen,2014-08-21,Free,69,237753,00:22
Heroes & Generals,2014-07-11,Free,28,10385050,12:18
Mabinogi,2012-12-06,Free,43,517411,62:03
Hold the door!,2016-09-02,Free,N/A,3156,00:04
Intruder Alert: Ixian Operations,2016-07-21,Free,N/A,14903,00:54
Destinations,2016-06-09,Free,93,61367,00:37
Maui,2016-04-26,Free,12,91349,00:12
Fire With Fire: Online Tower Attack and Defense,2016-03-29,Free,10,66452,00:23
Party Jousting,2016-03-01,Free,81,124838,00:36
MechWarrior Online,2015-12-10,Free,47,819162,16:41
World of Soccer online,2015-08-26,Free,23,302802,02:21
Close Your Eyes,2015-08-31,Free,69,112389,01:08
One Manga Day,2015-05-04,Free,15,122559,00:35
16 Bit Arena,2015-03-24,Free,32,108532,00:50
Sigils of Elohim,2014-10-13,Free,88,237227,01:07
La Tale,2014-06-17,Free,22,712734,04:46
Kings Bounty: Legions,2013-12-10,Free,12,208998,20:02
War Inc. Battlezone,2011-07-18,Free,10,1140199,03:25
Argos,2016-08-12,Free,98,24547,00:12
Twisted Worlds,2016-06-17,Free,8,36470,04:13
BattleStick,2016-05-06,Free,5,192517,00:36
Age of Conquest IV,2016-04-05,Free,41,177438,03:21
Shakes and Fidget,2016-02-24,Free,64,520217,38:04
Take the Dream IX,2016-04-01,Free,49,30333,01:05
Endless Sky,2015-10-30,Free,72,390469,06:29
Missing Translation,2015-09-24,Free,75,268963,01:02
Heroes of SoulCraft,2015-07-20,Free,5,172178,01:23
Jigoku Kisetsukan: Sense of the Seasons,2015-05-12,Free,88,151313,00:54
Everlasting Summer,2014-11-19,Free,90,968371,09:47
Solstice Arena,2013-10-15,Free,54,201810,11:44
Smashmuck Champions,2013-09-11,Free,45,223376,02:06
The VR Museum of Fine Art,2016-08-20,Free,N/A,11747,00:10
Kalonline,2016-07-13,Free,12,85563,34:34
Paradox Paradigm,2016-05-23,3.99,N/A,1332,00:23
Plastic Playground,2016-04-18,Free,3,61016,00:07
MachineCraft,2016-03-25,Free,39,225655,04:03
To Burn in Memory,2016-01-19,Free,20,92051,00:22
Back to Dinosaur Island ,2015-11-18,Free,15,434128,00:13
Lost Lands: A Hidden Object Adventure,2015-09-24,Free,75,107480,12:08
Fingerbones,2015-08-03,Free,54,207420,00:22
Trove,2015-07-09,Free,47,6389707,19:18
Survarium,2015-04-02,Free,11,2771509,04:49
Nightbanes,2015-03-30,Free,19,137637,07:46
BloodRealm: Battlegrounds,2015-02-12,Free,7,176912,01:23
Creativerse,2014-08-12,Free,61,1838906,08:27
The Plan,2014-02-14,Free,81,569836,00:13
No More Room in Hell,2013-10-31,Free,78,6482810,07:00
Dystopia,2009-02-06,Free,64,187432,09:53
Black Rose,2016-03-15,Free,59,90297,00:47
Swordsman,2016-01-28,Free,12,279308,04:32
Carpe Diem,2015-11-30,Free,81,224954,00:17
Bloodwood Reload,2015-11-02,Free,4,110636,00:20
Lamia Must Die,2015-08-26,Free,20,67153,00:17
Curse of Mermos,2015-06-23,Free,14,137813,00:21
Demise of Nations: Rome,2015-04-21,Free,43,77673,01:45
InMind VR,2015-01-19,Free,61,197426,00:18
Double Action: Boogaloo,2014-10-23,Free,84,1652701,01:49
Galcon 2,2014-12-05,Free,66,226181,02:43
The Four Kings Casino and Slots,2015-06-01,Free,34,309991,04:59
SolForge,2016-07-25,Free,31,281236,86:33
Super Crate Box,2012-08-29,Free,78,922083,01:37
Magical Otoge Ciel,2016-08-26,Free,N/A,5085,01:30
BrainBread 2,2016-07-20,Free,N/A,737631,01:25
Legend of Numbers,2016-06-02,Free,N/A,22267,01:33
Crush Crush,2016-05-13,Free,78,171302,17:20
Mainland,2015-05-08,Free,61,82407,01:34
how do you Do It,2015-02-27,Free,64,263527,00:22
Tales Runner,2015-02-17,Free,9,265105,05:59
DRAKERZ-Confrontation,2014-05-19,Free,11,107305,01:19
Pinball Arcade,2013-11-04,Free,38,656978,06:14
Age of Conan: Unchained - EU version,2013-02-22,Free,36,402743,15:58
Dungeon Fighter Online,2016-08-09,Free,61,178841,12:19
Elisa: The Innkeeper - Prequel,2016-06-14,Free,49,87141,00:33
Vintage VR,2016-05-02,Free,N/A,24722,00:16
StarBreak,2016-05-10,Free,45,167444,03:04
Premium Pool,2016-03-14,Free,9,200056,00:55
VEGA Conflict,2015-12-14,Free,19,311744,52:15
One Way To Die: Steam Edition,2015-09-01,Free,15,143073,00:25
Epic Cards Battle(TCG),2015-07-09,Free,10,128345,06:34
Football Superstars,2012-11-16,Free,13,439037,03:56
AirMech,2012-11-08,Free,78,1178597,09:37
