ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Divine Souls,2014-08-15,Free,10,506190,00:53
Villagers and Heroes,2014-04-17,Free,15,640145,08:36
Football Superstars,2012-11-16,Free,13,439037,03:56
Kalonline,2016-07-13,Free,12,85563,34:34
Fantasy Tales Online,2016-05-05,Free,47,103623,01:23
Tower Unite,2016-04-08,14.99,59,34190,10:41
Ghost in the Shell: Stand Alone Complex - First Assault Online,2016-07-28,Free,31,913141,05:19
Assault CorpsII,2015-07-15,2.99,N/A,2981,00:52
Survarium,2015-04-02,Free,11,2771509,04:49
Uncharted Waters Online: Gran Atlas,2014-10-03,Free,24,236701,16:13
Hero Siege,2014-01-29,5.99,52,855807,11:11
Tree of Life: Beginning of a Journey,2015-05-27,13.99,47,76095,48:04
ShellShock Live,2015-03-11,6.99,69,445524,18:10
Wander,2015-06-04,8.99,3,1578,01:55
Atlantica,2012-06-29,Free,36,257566,82:37
Dungeon Fighter Online,2016-08-09,Free,61,178841,12:19
Boundel,2016-04-30,4.99,38,5786,00:36
TrackmaniaÂ® Turbo,2016-03-24,39.99,20,35944,13:13
Star Crusade CCG,2016-09-07,Free,41,97837,09:47
Wind of Luck: Arena,2015-08-18,Free,15,143774,03:04
Crossout,2016-08-24,29.99,49,5961,11:39
Screeps,2016-06-20,14.99,84,4559,45:17
Emporea,2016-06-08,Free,19,129221,06:39
Aftermath,2015-09-24,Free,7,1834698,04:57
Instinct,2015-06-01,1.99,2,10695,02:22
Navy Field 2 : Conqueror of the Ocean,2015-03-05,Free,9,514431,04:09
Eldevin,2014-11-05,Free,45,320511,10:00
Entropy,2013-12-09,19.99,4,20865,06:58
MapleStory,2012-08-09,Free,32,601923,41:24
Killbot,2016-07-10,1.99,N/A,1227,00:08
Forgotten Lore,2016-05-29,9.99,N/A,5961,04:14
Full Tilt Poker,2016-01-26,Free,5,60315,01:04
Heroes and Titans: Online,2015-11-12,Free,2,43132,07:17
Spy Bugs,2015-06-26,9.99,N/A,8241,03:57
Grand Chase,2015-07-17,Free,43,566856,06:58
City of Steam: Arkadia,2014-03-06,Free,19,300348,07:48
F.E.A.R. Online,2014-10-21,Free,6,960832,03:29
Strike.is: The Game,2016-07-14,Free,32,318758,00:49
Crazy Killer,2016-04-26,Free,8,185854,00:24
Lucent Heart F2P MMO,2016-02-11,Free,10,125539,01:42
Storm United,2015-04-17,19.99,23,24021,00:45
The Repopulation,2014-12-22,Free,26,36294,16:57
Creativerse,2014-08-12,Free,61,1838906,08:27
Ragnarok Online 2,2013-05-01,Free,19,1158784,17:32
Dungeons & Dragons Online,2012-06-25,Free,43,651016,19:12
Evolvation,2016-08-23,19.99,N/A,514,00:00
Riders of Icarus,2016-07-06,Free,20,1275557,13:04
Faeria,2016-02-29,Free,61,326122,09:02
Cards and Castles,2015-12-18,Free,30,92051,04:02
ARK: Survival Evolved,2015-06-02,29.99,31,3628894,108:54
Gates of Horizon,2014-12-18,9.99,28,2279,06:32
H1Z1,2015-01-15,19.99,24,2484487,61:48
Gloria Victis,2016-06-09,19.99,31,36294,25:14
PWI,2016-04-19,Free,8,72238,20:07
Hounds: The Last Hope,2016-01-27,34.99,26,3682,65:59
Battle Battalions,2015-11-03,Free,15,144300,01:36
Subspace Continuum,2015-07-03,Free,66,96434,02:53
Ascent - The Space Game,2016-04-11,19.99,39,16657,16:59
Miscreated,2014-10-30,9.99,30,257566,09:47
Jagged Alliance Online - Steam Edition,2013-06-05,Free,12,129046,11:18
Dragomon Hunter,2015-12-02,Free,16,396431,03:51
Choice Chamber,2015-07-16,9.99,32,84336,02:40
FreeStyle2: Street Basketball,2015-04-01,Free,39,3706041,13:16
sZone-Online,2015-12-29,Free,5,1627102,03:26
Aura Kingdom,2014-07-01,Free,52,2041417,15:42
Kingdom Wars,2013-04-01,Free,28,483221,09:20
APB Reloaded,2011-12-06,Free,25,4102998,26:08
Take Thy Throne,2016-07-05,3.99,39,7013,02:29
Imperia Online,2016-04-15,Free,4,60490,05:05
Elsword,2014-07-02,Free,52,1009224,23:29
Mabinogi,2012-12-06,Free,43,517411,62:03
Woodle Tree 2: Worlds,2016-07-27,3.99,81,2630,01:46
Atulos Online,2016-04-30,Free,31,42957,02:08
Governor of poker 3,2016-02-19,Free,34,285620,04:53
VEGA Conflict,2015-12-14,Free,19,311744,52:15
Otherland,2015-09-10,Free,16,6663,04:08
Alganon,2015-05-19,Free,4,85914,04:55
Shroud of the Avatar: Forsaken Virtues,2014-11-24,39.99,23,32437,32:49
My Lands,2014-09-16,Free,69,273697,22:02
Orake 2D MMORPG,2016-08-23,Free,N/A,4909,02:27
Age of Cavemen,2016-05-24,Free,14,139741,02:00
